resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
2,Morning Run,2218.2,808,816,19.2,Run,Run,0,14494537821,2025-05-16T02:12:28Z,2025-05-16T07:42:28Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887322, 77.510734]","[17.887253, 77.51068]",2.745,6.6,False,False,False,649.1,643.8,15464369027,15464369027,stripped_4646c574-ea71-4713-9545-5faeefefc129-activity.fit,False,0,0,False,160316324,1,a14494537821,wrdlBayaxM?Lf@V|@n@XZQVm@^KIq@aAg@o@CGBEPMZOn@r@`Av@BFCDQL[NKLGAIIq@kAe@g@@GDE`@UFAZd@t@h@d@`@ADONc@PMHE?c@_Ak@o@MMCGv@_@NVXZPNXJZ\CVIJKZK?SKG?a@q@aAgAE]h@ENEDD`@BIXBHt@l@RTDN?DMPOd@_@OGIUe@s@{@U_@@K`@OJIZAC\HRj@d@LFVZCPOLOFe@D[a@So@QUMIGQ@ELM\MR^d@Zx@t@@HAHGJq@TO?EEKSWo@s@w@@MNMRKFAN@ZDAV@LrApA@BG\e@CQLKBOM]_As@s@?ODG^QHAFN,2
2,Morning Run,2056.5,775,775,15.8,Run,Run,0,14411508079,2025-05-08T02:17:01Z,2025-05-08T07:47:01Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886998, 77.509944]","[17.887257, 77.510642]",2.654,5.02,False,False,False,647.8,644.0,15376498638,15376498638,stripped_082fdfb7-a460-43d2-92c3-e0fe6276b1bf-activity.fit,False,0,0,False,160316324,1,a14411508079,updlBctaxMB?EEKCcAoAW]?Ep@_@\f@rAjA?H{@h@E?[k@e@m@a@a@?GDEd@WFAf@n@hA`ACFIFa@PMJG@eA{A[]?GLK^SF?X^vAlABHo@ZQLEASc@mAsAAGLK^SD?NTRR@FN@FBx@v@AFaAj@CCSa@[Wu@}@@G\SFAHKF@LH`@j@`Az@AFIJu@\Q_@w@{@]e@BEl@_@F@BNLDLPtAfA?Dc@Ta@ZECYe@e@g@c@m@BIJ?BIFERKFBn@l@r@j@NL@DCDCCCFE@ABGa@MQa@e@QKc@a@?FZRr@j@CAo@g@EKKAGICC?DDBHF,2
2,Morning Run,1940.5,714,728,11.5,Run,Run,0,14359932537,2025-05-03T02:17:49Z,2025-05-03T07:47:49Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886006, 77.508622]","[17.88571, 77.508588]",2.718,3.72,False,False,False,647.0,638.4,15322317505,15322317505,stripped_147d14c9-a252-4f7b-9295-e3c414965f50-activity.fit,False,0,0,False,160316324,1,a14359932537,ojdlB{kaxM^CL@@DG@aAGaCCMNEHBRDHJDf@@TD\?ZBv@?GCK@_AE]?mAKEB@p@DJDB^AnAHd@@L@BFCFk@Pa@^o@^AFDAj@c@BEAGN?DEPUZS?GEEa@BsBIIGAGFY?UFAPDl@DlA@XBH?DEEAYB}@Ge@@SEc@AGI@WHYHARHhA?bAFPAFCADq@GoA@mAI@CD?f@Hf@Db@AZDdA@AGUDS?WEmCIABB@n@?|BL\ADACCk@@eAGeA?c@E?@f@Dd@C\BZDVA~@@BB,2
2,Evening Run,1570.8,614,632,15.0,Run,Run,0,14291363279,2025-04-26T13:06:58Z,2025-04-26T18:36:58Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886698, 77.510242]","[17.886663, 77.510185]",2.558,3.84,False,False,False,649.6,644.4,15250518005,15250518005,stripped_3840a780-d3e4-4558-828e-3dec7b18ce0c-activity.fit,False,0,0,False,160316324,1,a14291363279,yndlB_vaxMIPQJc@`@GEAWIQ]c@[WOSDG^[FCD@d@ZRTx@t@?Hc@P_@XG@Q[[Uq@y@CIn@g@H?~@`Ar@l@?Hi@Pa@PEEMWgAsAAKVKROH?RTRL^`@f@`@@DEFo@VSRm@gAm@y@@GTKRSD@V`@z@p@X\?He@PURG@Uq@cAmA@El@]PV|@p@`@`@CFWLAAQZGDMAs@mAg@i@?Eh@a@FBPVVXdA`ACF?GDE,2
2,Morning Run,1337.8,469,469,10.6,Run,Run,0,14268630183,2025-04-24T02:08:37Z,2025-04-24T07:38:37Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887347, 77.510733]","[17.887232, 77.510703]",2.852,4.18,False,False,False,648.9,644.1,15226726580,15226726580,stripped_d78fa47d-a7d8-4b18-985b-7b6c3857838e-activity.fit,False,0,0,False,160316324,1,a14268630183,{rdlBayaxMDCB?JTFH`@Lb@h@d@`@MRg@VG?kAuAg@c@AGBCr@Yh@l@lAbACDo@`@GDE?eAwAa@a@AGl@]F?z@`Ax@l@?FEDc@RWNE?[s@QUs@o@AIDEj@WX\~ArAAFm@^MFI?I[IOi@e@c@k@AGn@[D?RX`BtACFYNa@\GCKWOYiAiA?CDEXOJCDEHA@B,2
2,Evening Run,82.1,17,34,0.0,Run,Run,0,14222940997,2025-04-19T13:24:56Z,2025-04-19T18:54:56Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887298, 77.510728]","[17.886751, 77.510209]",4.829,6.52,False,False,False,646.9,646.5,15178942378,15178942378,stripped_0f6b630a-6ea6-4cea-9e9e-7c95fda5df70-activity.fit,False,0,0,False,160316324,1,a14222940997,qrdlB_yaxM@Fn@j@x@r@,2
2,Evening Run,72.1,16,45,0.0,Run,Run,0,14222940708,2025-04-19T13:18:30Z,2025-04-19T18:48:30Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887318, 77.510718]","[17.886822, 77.510296]",4.506,7.78,False,False,False,646.9,646.6,15178942251,15178942251,stripped_3ba97a9e-0de6-4e67-a825-6698f8aabb7c-activity.fit,False,0,0,False,160316324,1,a14222940708,urdlB}xaxMBAB@PZHFbAh@ED,2
2,Evening Run,68.9,15,70,0.0,Run,Run,0,14222940677,2025-04-19T13:13:26Z,2025-04-19T18:43:26Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887302, 77.51072]","[17.886863, 77.510336]",4.593,6.22,False,False,False,646.9,646.6,15178942118,15178942118,stripped_a9475483-4eef-44cc-a743-23c38d127866-activity.fit,False,0,0,False,160316324,1,a14222940677,srdlB_yaxMB?b@Xx@x@ACGA,2
2,Evening Run,60.4,68,142,0.0,Run,Run,0,14222940455,2025-04-19T13:09:52Z,2025-04-19T18:39:52Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886778, 77.510053]","[17.887359, 77.510693]",0.888,1.6,False,False,False,646.9,646.4,15178941910,15178941910,stripped_469d3739-c0f5-4037-8bd3-4cf885e43136-activity.fit,False,0,0,False,160316324,1,a14222940455,iodlBytaxMc@cAOS_@[OMGAGB,2
2,Evening Run,92.2,107,1286,0.0,Run,Run,0,14222940072,2025-04-19T12:44:30Z,2025-04-19T18:14:30Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886952, 77.509912]","[17.886833, 77.51033]",0.862,1.58,False,False,False,647.6,645.1,15178941612,15178941612,stripped_688dd499-f96f-4d99-9bc0-6bff9ef8d004-activity.fit,False,0,0,False,160316324,1,a14222940072,mpdlB}saxMQIWUEGSSYg@AESOjCd@,2
2,Evening Run,95.3,113,121,0.0,Run,Run,0,14222939916,2025-04-19T12:41:41Z,2025-04-19T18:11:41Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887296, 77.510703]","[17.886706, 77.510128]",0.843,2.08,False,False,False,646.9,646.4,15178941334,15178941334,stripped_b9473f15-21de-42f8-b7c4-bf6cb66f04c5-activity.fit,False,0,0,False,160316324,1,a14222939916,qrdlB{xaxM`@XBHp@d@JLB?XRKF,2
2,Morning Run,1262.2,435,441,6.3,Run,Run,0,14199728314,2025-04-17T02:18:58Z,2025-04-17T07:48:58Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886996, 77.509933]","[17.887266, 77.510712]",2.902,6.56,False,False,False,647.8,645.1,15154656840,15154656840,stripped_53888793-2a3c-445e-b509-ce4ed9ae566d-activity.fit,False,0,0,False,160316324,1,a14199728314,updlBataxME@DIQIyAgB@GNIVUB@EDk@h@BDTNjAvAHNADKIK]mAgBBGh@Y?Bg@\KN^Z`AnAEAS]eAuADGj@]MNa@VAHd@d@HTJLb@b@B??Ca@[aAyADGTKRS?DSH]ZAFBNCLVEF@^\^v@JHJCPSb@a@@AMNq@h@a@@?i@]a@m@cA?YVDXKDB,2
2,Evening Run,59.9,13,13,0.0,Run,Run,0,14087405768,2025-04-05T13:24:19Z,2025-04-05T18:54:19Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887343, 77.510716]","[17.886915, 77.510389]",4.608,5.62,False,False,False,647.6,645.1,15037329753,15037329753,stripped_b26a5011-a0df-47f7-9dce-545ec4e66536-activity.fit,False,0,0,False,160316324,1,a14087405768,{rdlB}xaxMjAt@HJ,2
2,Evening Run,155.1,50,652,0.0,Run,Run,0,14087282508,2025-04-05T13:07:56Z,2025-04-05T18:37:56Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.88734, 77.510698]","[17.88691, 77.510366]",3.102,7.16,False,False,False,647.5,645.1,15037198444,15037198444,stripped_410cf404-dc63-414e-84d5-7620fe56b12a-activity.fit,False,0,0,False,160316324,1,a14087282508,yrdlByxaxM`Ar@o@_@b@`@RLaA}@n@j@ZN,2
2,Morning Run,1113.8,374,394,8.4,Run,Run,0,14064501064,2025-04-03T02:11:58Z,2025-04-03T07:41:58Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.88755, 77.510516]","[17.887427, 77.510506]",2.978,5.54,False,False,False,649.1,644.7,15013211969,15013211969,stripped_5564248d-bbe5-461d-b9c5-b3961bf11425-activity.fit,False,0,0,False,160316324,1,a14064501064,etdlBuwaxMLKKDNM\SD@PRh@\RRf@\BHKJy@b@e@YiAyADIVMTOHCFDX^NLb@T\XBLcAj@G?MOa@[y@cA?EDGj@]F?b@^z@n@\`@[Na@XC@EAMQOI{@{@SY@IRKXUF?NNr@n@VLRPJPAXG@[CWPMBEAMQM[[Wi@o@HGJ@DF,2
2,Evening Run,71.7,18,21,0.0,Run,Run,1,14019912146,2025-03-29T13:17:57Z,2025-03-29T18:47:57Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887296, 77.510751]","[17.886775, 77.51037]",3.414,5.92,False,False,False,646.9,646.6,14965571166,14965571166,stripped_c0ea8ab7-6879-43ed-9acc-d57dbe376948-activity.fit,False,0,0,False,160316324,1,a14019912146,qrdlBeyaxMBAh@Zr@h@DH,2
2,Evening Run,585.6,277,600,4.9,Run,Run,0,14019865435,2025-03-29T13:03:57Z,2025-03-29T18:33:57Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887254, 77.510666]","[17.887156, 77.510643]",2.114,8.4,False,False,False,649.5,646.6,14965521235,14965521235,stripped_f5e4be92-04c7-471b-b67e-e4f6f579d936-activity.fit,False,0,0,False,160316324,1,a14019865435,irdlBsxaxME??ILJDJF?BF\HZZC?QIa@_@?EYMCGGC?Bj@^XLA@I?KKAEICKQUMBFXRPJA?MERBKUQEOK?AFBh@h@NHDHRN?BOG_@a@AEe@QIKNBXJDE\b@ZV?DKAQUKIKEOMGC@A,2
2,Morning Run,911.8,299,328,5.6,Run,Run,0,13998470717,2025-03-27T02:20:37Z,2025-03-27T07:50:37Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886996, 77.509851]","[17.887462, 77.510614]",3.049,6.12,False,False,False,648.7,643.9,14942463919,14942463919,stripped_5958731e-88e6-4144-ad54-335f5612bc87-activity.fit,False,0,0,False,160316324,1,a13998470717,updlBqsaxMGs@g@Ey@eA@KXOHIHC|AxA\R?FYPYVGDI?Yg@a@i@e@e@CKBEd@[FC\d@tAhAAFONk@`@GCQ_@g@o@c@e@AK\QNOF@b@j@dAr@LNCHe@\WLG?O_@_AcAU_@?ALM,2
2,Morning Run,20.7,35,66,0.0,Run,Run,0,13998467623,2025-03-27T02:19:22Z,2025-03-27T07:49:22Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.887001, 77.509937]","[17.886989, 77.509884]",0.591,1.38,False,False,False,645.4,645.4,14942460628,14942460628,stripped_d48f6083-36bb-45a6-bc3c-6b2371462dca-activity.fit,False,0,0,False,160316324,1,a13998467623,wpdlBataxMAABJKQRPE?,2
2,Morning Run,1316.3,488,505,3.2,Run,Run,0,13867569475,2025-03-13T02:51:46Z,2025-03-13T08:21:46Z,(GMT+05:30) Asia/Kolkata,19800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[17.886994, 77.50987]","[17.887541, 77.510537]",2.697,6.58,False,False,False,648.7,644.3,14801888349,14801888349,stripped_301217b4-61b6-4d22-b305-ffb70b1a2e63-activity.fit,False,0,0,False,160316324,1,a13867569475,updlBusaxMAYQc@MCYAu@y@?ELKXUHA\f@tAjA@HWL_@ZEA[m@c@]GMKGSY?Ed@c@FA@BTb@RJnA~@AHIF[LUPEAg@s@c@i@@AFVJN`A~@FKHGn@]BEAE_@QU_@UMCDHR?Lf@DJFNP@DEJIBSEi@^I@ECQBFMBSEGeAsAp@fAJJXPX^RETONU@OE@IHOFm@`@OGM@@[AIWa@o@s@@A,2
